Rang,Name,1970,1980,1990,2000,2010,2020,2022,Bundesland
207.,Frankenthal (Pfalz),41.493,43.725,46.966,47.763,46.793,48.750,49.051,Rheinland-Pfalz

208.,Bornheim,31.420,34.293,35.858,45.407,48.531,48.348,49.025,Nordrhein-Westfalen

209.,Soest,37.671,40.791,42.602,48.520,48.579,47.206,48.607,Nordrhein-Westfalen

210.,Cuxhaven,47.185,58.666,56.090,53.391,50.492,48.326,48.562,Niedersachsen

211.,Stade,32.769,42.818,42.487,44.929,46.159,47.611,48.353,Niedersachsen

212.,Alsdorf,30.778,46.373,46.935,46.087,45.522,47.330,48.328,Nordrhein-Westfalen

213.,Dachau,32.929,33.950,35.387,38.398,42.506,47.680,48.195,Bayern

214.,Hennef (Sieg),26.053,29.224,32.521,42.711,46.114,47.544,48.002,Nordrhein-Westfalen

215.,Oranienburg,20.381,25.300,28.696,29.872,41.810,45.492,47.752,Brandenburg

216.,Landau in der Pfalz,31.437,36.522,37.274,41.122,43.615,46.685,47.610,Rheinland-Pfalz

217.,Dülmen,21.168,38.712,40.496,46.552,46.762,46.706,47.468,Nordrhein-Westfalen

218.,Melle,16.154,40.859,41.579,45.390,46.141,46.753,47.228,Niedersachsen

219.,Oberursel (Taunus),25.301,38.979,40.180,42.096,43.741,46.678,47.042,Hessen

220.,Herzogenrath,9.034⁠(a),42.722,44.284,46.853,46.708,46.225,46.941,Nordrhein-Westfalen

221.,Neunkirchen,43.411,51.992,51.536,50.882,47.398,46.037,46.882,Saarland

222.,Schwerte,24.402,47.810,50.696,50.834,48.259,46.124,46.658,Nordrhein-Westfalen

223.,Hof,54.058,53.180,52.913,50.741,46.286,45.173,46.656,Bayern

224.,Bruchsal,27.151,37.351,38.059,41.580,43.224,45.364,46.587,Baden-Württemberg

225.,Rodgau⁠6,10.035,35.736,40.088,43.123,43.283,46.005,46.426,Hessen

226.,Albstadt⁠5,22.446,48.152,49.021,48.155,44.974,45.472,46.422,Baden-Württemberg

227.,Filderstadt⁠4,11.311,37.300,38.498,41.924,44.348,45.958,46.188,Baden-Württemberg

228.,Bünde,40.403,40.056,40.508,44.582,44.786,45.376,46.030,Nordrhein-Westfalen

229.,Gotha,57.010,57.892,54.525,48.376,45.593,45.273,46.019,Thüringen

230.,Fellbach,29.000,41.383,40.930,42.822,44.665,45.430,45.896,Baden-Württemberg

231.,Memmingen,32.955,38.298,39.333,40.849,41.025,44.360,45.857,Bayern

232.,Kaufbeuren,38.918,42.013,40.432,41.905,41.843,44.662,45.792,Bayern

233.,Lutherstadt Wittenberg,47.323,53.870,49.682,48.972,49.496,45.425,45.535,Sachsen-Anhalt

234.,Weinheim,29.640,41.654,42.241,42.718,43.682,45.335,45.275,Baden-Württemberg

235.,Neustadt am Rübenberge,13.463,38.226,39.532,45.026,45.049,44.586,45.262,Niedersachsen

